"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"jazgulemcy";"tadzhiki";"55318";"1989_5";"Pamir groups, Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"jazgulemcy";"vakhancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"jazgulemcy";"rushancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"jazgulemcy";"shugnancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"jazgulemcy";"pamirskie narody";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"ishkashimcy";"tadzhiki";"55318";"1989_5";"Pamir groups, Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"ishkashimcy";"vakhancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"ishkashimcy";"rushancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"ishkashimcy";"shugnancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"ishkashimcy";"pamirskie narody";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"tadzhiki";"vakhancy";"55318";"1989_5";"Groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"rushancy";"tadzhiki";"55318";"1989_5";"Groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"shugnancy";"tadzhiki";"55318";"1989_5";"Groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"pamirskie narody";"tadzhiki";"55318";"1989_5";"Groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"rushancy";"vakhancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"shugnancy";"vakhancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"pamirskie narody";"vakhancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"rushancy";"shugnancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"pamirskie narody";"rushancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"pamirskie narody";"shugnancy";"55318";"1989_5";"Pamir groups, Pamir groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / otadzhikovanie"
"tadzhiki";"uzbeki";"55342";"1982_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Isfara";"Ura-Tjube";"55722";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"Isfara";"Ura-Tjube";"55722";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"tadzhiki";"uzbeki";"55802";"1990_3";"Central Asian titular nations, Groups";NA;"Factual Statement by Author";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"tadzhiki";"uzbeki";"56816";"1979_3";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"gornye tadzhiki";"uzbeki iz gornykh rajonov";"571824";"1954_4";"tadzhiki, uzbeki";"past: Stalinist era / 1930s-40s";"Literature Review";"Continuity";"control over nature / making land arable / osvoenie zemel'"
"gornye tadzhiki";"uzbeki iz gornykh rajonov";"571824";"1954_4";"tadzhiki, uzbeki";"past: pre-Soviet";"Literature Review";"Continuity";"control over nature / making land arable / osvoenie zemel'"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"57216";"1964-6";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"57216";"1964-6";"Groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"57216";"1964-6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane""";"tadzhiki";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"sredneaziatskie araby / Central Asian Arabs";"tadzhiki";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"ujgury";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane""";"sredneaziatskie araby / Central Asian Arabs";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane""";"ujgury";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"sredneaziatskie araby / Central Asian Arabs";"ujgury";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"60571";"1956_3";"Locations, Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"raskreposshenie zhensshin / liberation of women"
"Armenija";"Tajikistan / TadzhSSR";"60571";"1956_3";"Locations, Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"raskreposshenie zhensshin / liberation of women"
"Armenija";"Uzbekistan / Uzbekskaja SSR";"60571";"1956_3";"Locations, Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"raskreposshenie zhensshin / liberation of women"
"tadzhiki";"uzbeki";"608860";"1977_5";"Central Asian titular nations, Groups";"present";"Literature Review";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"uzbeki";"608860";"1977_5";"Central Asian titular nations, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"uzbeki";"608860";"1977_5";"Central Asian titular nations, Groups";"past";"Literature Review";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"uzbeki";"608860";"1977_5";"Central Asian titular nations, Groups";"past";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli Jazgulemskogo rajona istor. oblasti Darvaz";"tadzhiki";"60924";"1989_5";"Groups, Pamir groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli Jazgulemskogo rajona istor. oblasti Darvaz";"tadzhiki";"60924";"1989_5";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli rajonov istor. oblasti Badakhshan";"tadzhiki";"60924";"1989_5";"Groups, Pamir groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli rajonov istor. oblasti Badakhshan";"tadzhiki";"60924";"1989_5";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli Jazgulemskogo rajona istor. oblasti Darvaz";"naselenie / zhiteli rajonov istor. oblasti Badakhshan";"60924";"1989_5";"Pamir groups, Pamir groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"naselenie / zhiteli Jazgulemskogo rajona istor. oblasti Darvaz";"naselenie / zhiteli rajonov istor. oblasti Badakhshan";"60924";"1989_5";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"ravninnye tadzhiki";"tjurkojazychnye narody";"617001";"1977_5";"tadzhiki, Groups";"past: pre-Soviet";"Literature Review";NA;"slijanie / sblizhenie / fusion / convergence"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"61776";"1979_3";"Locations, Locations";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"61938";"1979_3";"Locations, Locations";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"dolina r. Khuf / Khuf";"Pamir";"621993";"1953_4";"Locations, pripamirskie rajony / Pripamir'";"present";"Literature Review";"Rupture";"modernization / socialist progress"
"dolina r. Khuf / Khuf";"Pamir";"621993";"1953_4";"Locations, pripamirskie rajony / Pripamir'";"present";"Literature Review";"Rupture";"Sovietization"
"dolina r. Khuf / Khuf";"Pamir";"621993";"1953_4";"Locations, pripamirskie rajony / Pripamir'";"present";"Literature Review";"Rupture";"battle against perezhitki / survivals"
"Isfara";"Ura-Tjube";"63448";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Isfara";"Ura-Tjube";"63448";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"Sovietization"
"Tajikistan / TadzhSSR";"Uzbekistan / Uzbekskaja SSR";"63696";"1979_3";"Locations, Locations";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"Kazakh women / kazashki";"zhensshiny verkhov'ev Zeravshana";"64207";"1979_3";"kazakhi, gornye tadzhiki";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kazakh women / kazashki";"zhensshiny verkhov'ev Zeravshana";"64207";"1979_3";"kazakhi, gornye tadzhiki";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kazakh women / kazashki";"zhensshiny verkhov'ev Zeravshana";"64207";"1979_3";"kazakhi, gornye tadzhiki";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"Kazakh women / kazashki";"Kyrgyz women / kirgizki";"64207";"1979_3";"kazakhi, kirgizy";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kazakh women / kazashki";"Kyrgyz women / kirgizki";"64207";"1979_3";"kazakhi, kirgizy";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kazakh women / kazashki";"Kyrgyz women / kirgizki";"64207";"1979_3";"kazakhi, kirgizy";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"Kazakh women / kazashki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kazakhi, uzbeki";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kazakh women / kazashki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kazakhi, uzbeki";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kazakh women / kazashki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kazakhi, uzbeki";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"Kyrgyz women / kirgizki";"zhensshiny verkhov'ev Zeravshana";"64207";"1979_3";"gornye tadzhiki, kirgizy";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kyrgyz women / kirgizki";"zhensshiny verkhov'ev Zeravshana";"64207";"1979_3";"gornye tadzhiki, kirgizy";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kyrgyz women / kirgizki";"zhensshiny verkhov'ev Zeravshana";"64207";"1979_3";"gornye tadzhiki, kirgizy";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"zhensshiny verkhov'ev Zeravshana";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"gornye tadzhiki, uzbeki";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"zhensshiny verkhov'ev Zeravshana";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"gornye tadzhiki, uzbeki";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"zhensshiny verkhov'ev Zeravshana";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"gornye tadzhiki, uzbeki";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"Kyrgyz women / kirgizki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kirgizy, uzbeki";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kyrgyz women / kirgizki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kirgizy, uzbeki";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kyrgyz women / kirgizki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kirgizy, uzbeki";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"pamircy";"tadzhiki";"650081";"1991_4";"Pamir groups, Groups";"present";"Literature Review";NA;"slijanie / sblizhenie / fusion / convergence"
"pamircy";"tadzhiki";"650081";"1991_4";"Pamir groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Isfara";"Ura-Tjube";"65727";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"Sovietization"
"Isfara";"Ura-Tjube";"65727";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"tadzhik women / tadzhichki";"Uzbek women / uzbechki";"661183";"1989_1";"uzbeki, tadzhiki";NA;"Correction of cited research or literature";NA;"failed modernization"
"tadzhik women / tadzhichki";"Uzbek women / uzbechki";"661183";"1989_1";"uzbeki, tadzhiki";NA;"Correction of cited research or literature";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"tadzhik women / tadzhichki";"Uzbek women / uzbechki";"661183";"1989_1";"uzbeki, tadzhiki";NA;"Literature Review";NA;"failed modernization"
"tadzhik women / tadzhichki";"Uzbek women / uzbechki";"661183";"1989_1";"uzbeki, tadzhiki";NA;"Literature Review";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"kirgizy";"Soviet Union";"66453";"1982_6";"Locations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"Soviet Union";"66453";"1982_6";"Locations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"Soviet Union";"66453";"1982_6";"Locations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"russkij narod / Russians";"Soviet Union";"66453";"1982_6";"Locations, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Soviet Union";"tadzhiki";"66453";"1982_6";"Locations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"Soviet Union";"tadzhiki";"66453";"1982_6";"Locations, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Soviet Union";"uzbeki";"66453";"1982_6";"Locations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"Soviet Union";"uzbeki";"66453";"1982_6";"Locations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"russkij narod / Russians";"66453";"1982_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"russkij narod / Russians";"66453";"1982_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"tadzhiki";"66453";"1982_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"tadzhiki";"66453";"1982_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"uzbeki";"66453";"1982_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"uzbeki";"66453";"1982_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"tadzhiki";"66453";"1982_6";"Groups, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"russkij narod / Russians";"tadzhiki";"66453";"1982_6";"Groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"uzbeki";"66453";"1982_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"russkij narod / Russians";"uzbeki";"66453";"1982_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"uzbeki";"66453";"1982_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"tadzhiki";"uzbeki";"66453";"1982_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"tadzhik women / tadzhichki";"Uzbek women / uzbechki";"66744";"1986_1";"uzbeki, tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"past: Stalinist era / 1930s-40s";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"gornobadakhshancy";"tadzhiki";"67442";"1989_5";"Groups, Pamir groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"pamirskie tadzhiki";"tadzhiki";"67951";"1971_4";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"pamirskie tadzhiki";"tadzhiki";"67951";"1971_4";"Groups, Pamir groups";"past: early Soviet";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"tadzhiki Chkalovska";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"tadzhiki Chkalovska";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"tadzhiki Chkalovska";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"tadzhiki Chkalovska";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"tadzhiki Chkalovska";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"tadzhiki Chkalovska";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhiki Chkalovska";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhiki Chkalovska";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhiki Chkalovska";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhiki Chkalovska";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhiki Chkalovska";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhiki Chkalovska";"689131";"1955_3";"tadzhiki, Leninabadskij rajon / oblast' / kraj";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"Leninabadskij rajon / oblast' / kraj, Leninabadskij rajon / oblast' / kraj";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"Leninabadskij rajon / oblast' / kraj, Leninabadskij rajon / oblast' / kraj";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"Leninabadskij rajon / oblast' / kraj, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"Leninabadskij rajon / oblast' / kraj, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"Leninabadskij rajon / oblast' / kraj, Leninabadskij rajon / oblast' / kraj";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"Sovietization"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"689131";"1955_3";"Leninabadskij rajon / oblast' / kraj, Leninabadskij rajon / oblast' / kraj";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"modernization / socialist progress"
"jagnobcy / Yaghnobis";"tadzhiki";"70221";"1955_3";"Groups, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"lokajcy";"tadzhiki";"70221";"1955_3";"Groups, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"lokajcy";"70221";"1955_3";"Groups, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"tadzhiki";"uzbeki";"70575";"1961_4";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"tadzhiki";"turkmeny";"70575";"1961_4";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"turkmeny";"uzbeki";"70575";"1961_4";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"tadzhiki Samarkanda";"uzbeki";"70630";"1991_1";"dolinnye tadzhiki, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed modernization"
"tadzhiki Samarkanda";"uzbeki";"70630";"1991_1";"dolinnye tadzhiki, Central Asian titular nations";"present";"Factual Statement by Author";NA;"forced assimilation / uzbekizacija"
"tadzhiki Bukhary";"tadzhiki Samarkanda";"70630";"1991_1";"dolinnye tadzhiki, dolinnye tadzhiki";"present";"Factual Statement by Author";NA;"failed modernization"
"tadzhiki Bukhary";"tadzhiki Samarkanda";"70630";"1991_1";"dolinnye tadzhiki, dolinnye tadzhiki";"present";"Factual Statement by Author";NA;"forced assimilation / uzbekizacija"
"tadzhiki Bukhary";"uzbeki";"70630";"1991_1";"Central Asian titular nations, dolinnye tadzhiki";"present";"Factual Statement by Author";NA;"failed modernization"
